date,player,session_type,duration,total_distance_m,running_m,HSR_m,sprint_m,HI_m,acc_cnt,dec_cnt,high_acc_cnt,high_dec_cnt,player_load
2024-07-23,Ryan Reynolds,FULL TRAINING,01:21:00,11150,545,544,59,603,187,79,17,19,430.59829710530335
2025-05-24,Usain Bolt,OFFICIAL MATCH,01:28:00,7969,2469,662,662,1118,433,642,20,12,1206.0352093776746
2024.11.19,Chris Hemsworth,FULL TRAINING,01:09:00,4318,405,85,59,144,310,255,10,15,649.7142272877649
2025-03-11,Gerard Butler,FULL TRAINING,01:00:00,0,939,220,25,245,355,402,12,24,854.1780782756489
2024-08-12,Ryan Reynolds,FULL TRAINING,01:24:00,6830,834,27,21,49,256,187,16,31,894.9661962657694
2024-09-14,Usain Bolt,OFFICIAL MATCH,00:53:00,5651,1011,465,86,552,410,546,24,124,849.6972017124149
2024.07.19,Usain Bolt,FULL TRAINING,01:50:00,12626,836,170,21,191,123,132,9,102,709.1665863041251
2025-02-19,Mark Wahlberg,FULL TRAINING,01:13:00,3769,1349,244,243,462,252,153,18,1,788.6179705930479
2024-07-23,Robert Downey Jr.,FULL TRAINING,01:08:00,2621,1003,122,30,152,235,453,52,20,427.6227745584291
2025-04-24,Adam Sandler,FULL TRAINING,01:23:00,3830,939,408,53,461,380,409,10,6,641.0458474843228
2025-02-19,Gerard Butler,FULL TRAINING,01:38:00,6951,1037,192,4,196,184,0,6,0,476.41132842742354
2024-08-13,Jason Momoa,FULL TRAINING,01:19:00,5970,306,227,35,262,237,158,52,29,392.13533216169964
2025-05-20,Cristiano Ronaldo,FULL TRAINING,01:28:00,6293,1576,128,93,222,219,216,19,67,772.8243849825365
2024.09.13,Ryan Reynolds,FULL TRAINING,01:19:00,7928,596,292,82,374,214,323,25,19,357.5565024075072
2025-05-21,Ryan Reynolds,FULL TRAINING,01:17:00,9059,242,130,45,175,341,278,12,10,716.1583956316521
2024-07-08,Chris Hemsworth,FULL TRAINING,01:55:00,8254,1369,485,90,576,268,212,14,35,401.66599723568584
2025-03-29,Ryan Reynolds,OFFICIAL MATCH,00:51:00,5590,1448,771,144,915,618,499,36,101,1124.7303189401857
2025-03-24,John Cena,FULL TRAINING,01:05:00,5824,458,291,7,299,387,373,19,1,317.2606337861227
2025-01-15,Mark Wahlberg,FULL TRAINING,01:25:00,10106,725,241,42,283,395,307,24,41,851.4308088314732
2024.11.11,Justin Timberlake,FULL TRAINING,01:05:00,4627,383,383,11,395,353,365,4,5,671.8536712480159
2025-01-03,Leonardo DiCaprio,FULL TRAINING,01:35:00,5633,685,684,17,702,270,271,26,19,723.9708934281093
2024-09-27,Ryan Reynolds,FULL TRAINING,00:59:00,3096,1103,359,359,442,223,331,6,2,1078.899664816794
2024-09-28,Usain Bolt,OFFICIAL MATCH,00:54:00,5894,1182,455,177,632,398,372,11,12,1038.2235761487777
2025-04-24,Mark Wahlberg,FULL TRAINING,01:13:00,5836,419,207,207,381,353,304,51,2,501.6857218206149
2024-12-10,Jason Momoa,FULL TRAINING,01:30:00,8125,1119,221,69,291,284,328,5,8,358.7966181936034
2024-11-12,Usain Bolt,FULL TRAINING,00:48:00,2993,552,117,20,138,39,56,16,7,954.8916401241202
2025-04-23,Robert Downey Jr.,FULL TRAINING,01:21:00,4154,411,307,16,323,395,428,8,24,938.8796592692447
2025-04-14,Justin Timberlake,FULL TRAINING,01:18:00,7669,1591,95,15,111,434,404,14,34,558.0983225437873
2025-04-24,Leonardo DiCaprio,FULL TRAINING,01:33:00,7918,1056,583,17,600,340,339,12,7,937.3844694149736
2025-02-15,Chris Hemsworth,OFFICIAL MATCH,01:32:00,10253,2006,700,371,1071,696,673,15,95,1227.051750393729
2024-08-08,Robert Downey Jr.,FULL TRAINING,00:58:00,5715,661,101,6,107,280,379,17,6,542.792282252772
2024-10-18,Leonardo DiCaprio,FULL TRAINING,02:03:00,10507,595,521,50,571,308,210,10,99,451.4678525108029
2025-02-04,Jamie Foxx,FULL TRAINING,02:04:00,9772,1513,351,6,358,387,341,11,29,669.901358747723
2024.11.20,Robert Downey Jr.,FULL TRAINING,01:26:00,10600,2533,157,19,176,93,9,10,9,708.8151433847485
2025.03.05,Ryan Reynolds,FULL TRAINING,02:03:00,9871,1499,1499,16,1515,284,457,23,8,806.5835972950299
2025-03-25,Jamie Foxx,FULL TRAINING,01:07:00,5298,1370,208,177,385,204,158,9,5,802.3751685920736
2025-05-07,Ryan Reynolds,FULL TRAINING,02:11:00,9753,852,100,39,139,112,27,17,12,633.8609430471388
2024-10-21,Justin Timberlake,FULL TRAINING,01:05:00,3867,793,195,9,205,165,280,7,29,642.6624492918959
2024-10-23,Justin Timberlake,FULL TRAINING,01:05:00,8565,200,171,170,294,210,143,28,71,614.2929282406734
2025-01-29,Justin Timberlake,FULL TRAINING,01:33:00,5802,659,129,17,146,331,455,40,79,976.4502717601874
2024-08-02,Justin Timberlake,FULL TRAINING,01:14:00,2866,864,74,56,131,112,96,65,11,156.52930600551286
2025.04.25,John Cena,FULL TRAINING,01:31:00,6835,973,88,26,114,286,181,11,5,842.3466301498179
2025-02-26,Robert Downey Jr.,FULL TRAINING,01:00:00,8380,354,247,15,262,370,490,3,80,427.87488623579515
2024-09-09,Adam Sandler,FULL TRAINING,01:43:00,8253,371,10,8,18,315,222,24,66,347.7669221115179
2024-12-04,Jamie Foxx,FULL TRAINING,01:09:00,7573,1042,1041,55,1097,225,287,10,2,425.8167965516778
2024.09.07,John Cena,OFFICIAL MATCH,01:13:00,9183,1392,434,240,674,515,629,33,39,763.5833325379929
2024-07-02,Leonardo DiCaprio,FULL TRAINING,01:24:00,472,689,184,23,207,319,303,6,20,325.7800749339772
2024-07-04,Chris Hemsworth,FULL TRAINING,01:42:00,6014,475,29,17,46,269,310,14,51,509.7589678183524
2024-07-17,George Clooney,FULL TRAINING,01:09:00,13143,1208,629,10,639,248,473,9,7,613.9984068886979
2024-08-08,Cristiano Ronaldo,FULL TRAINING,00:48:00,3363,234,64,64,94,179,1,15,1,1094.8337518583462
2024-09-11,Usain Bolt,FULL TRAINING,01:17:00,6832,260,98,16,114,433,466,7,1,685.3532468263247
2025-03-08,Chris Hemsworth,OFFICIAL MATCH,01:07:00,8492,1791,777,277,1055,726,763,72,13,1362.0323263499154
2025.05.07,Vin Diesel,FULL TRAINING,01:32:00,9600,211,164,28,192,255,374,35,83,1010.2229122857984
2025.05.02,Mark Wahlberg,FULL TRAINING,00:49:00,1546,242,108,11,120,353,336,32,16,457.2807331667246
2024-07-03,Adam Sandler,FULL TRAINING,01:28:00,10914,722,185,26,211,272,332,16,2,657.1312119180972
2024-09-18,Leonardo DiCaprio,FULL TRAINING,01:14:00,6980,1337,96,14,110,255,270,12,3,329.75479841751843
2024-11-25,Jamie Foxx,FULL TRAINING,01:07:00,4863,278,211,57,269,177,228,10,27,973.9256727448021
2025-05-22,Jason Momoa,FULL TRAINING,01:23:00,7416,452,75,74,148,413,362,11,53,521.7279074203133
2025-03-19,Justin Timberlake,FULL TRAINING,01:19:00,7479,1295,116,114,230,322,407,25,21,1320.152353238324
2025-01-27,Robert Downey Jr.,FULL TRAINING,02:08:00,8747,720,282,4,286,223,263,16,12,1048.0390717460168
2025-03-15,Vin Diesel,OFFICIAL MATCH,01:29:00,9434,1966,619,131,750,691,803,40,107,1137.2508242040888
2024-10-15,John Cena,FULL TRAINING,01:00:00,2401,173,173,128,301,218,29,4,5,510.3078933423454
2025-01-10,Jamie Foxx,FULL TRAINING,01:22:00,6308,573,169,52,222,346,173,39,28,782.7070665915501
2024-06-17,Cristiano Ronaldo,FULL TRAINING,01:23:00,5479,1095,85,4,89,259,349,21,7,41.339115856368494
2025-01-21,Chris Hemsworth,FULL TRAINING,01:58:00,6594,224,138,137,263,347,367,26,2,1080.464347170158
2024-07-08,Usain Bolt,FULL TRAINING,01:28:00,8521,1711,317,7,325,247,324,13,20,537.0841610915783
2024.11.14,Adam Sandler,FULL TRAINING,01:10:00,4288,1027,275,25,301,391,333,21,45,251.44343646877837
2024-10-24,Adam Sandler,FULL TRAINING,01:15:00,7277,510,58,57,79,101,0,13,0,635.9172455895704
2025.04.23,Chris Hemsworth,FULL TRAINING,01:07:00,4558,522,21,7,29,250,187,6,13,844.6809664059026
2024-10-31,Ryan Reynolds,FULL TRAINING,00:17:00,988,705,704,6,711,37,56,37,31,720.2648464921655
2025-03-26,Vin Diesel,FULL TRAINING,01:30:00,7652,1985,376,19,396,421,454,14,3,381.12117981460966
2024-12-07,Justin Timberlake,OFFICIAL MATCH,01:38:00,11018,907,668,115,784,309,168,38,168,909.102802885696
2025-04-25,Robert Downey Jr.,FULL TRAINING,01:35:00,8154,726,108,29,137,325,371,2,19,954.2980439801838
2024-10-19,George Clooney,OFFICIAL MATCH,01:22:00,8672,1121,485,53,538,98,31,26,31,860.0867125828747
2024-08-27,Ryan Reynolds,FULL TRAINING,01:11:00,0,595,77,34,111,219,172,18,7,497.82071671622805
2025-04-17,Robert Downey Jr.,FULL TRAINING,01:45:00,7682,1458,196,196,283,362,450,16,7,764.4727312917088
2025-05-08,Chris Hemsworth,FULL TRAINING,01:12:00,9184,962,129,8,137,284,330,23,13,774.7898718514447
2024-07-31,Vin Diesel,FULL TRAINING,00:58:00,6469,445,196,97,294,192,247,29,3,511.5935717238997
2025-02-08,Robert Downey Jr.,OFFICIAL MATCH,01:33:00,9185,1974,929,928,1490,681,921,41,168,1293.0365740716845
2024-08-03,Vin Diesel,OFFICIAL MATCH,01:30:00,8340,1198,459,173,633,283,297,12,24,596.0225368283745
2024.09.27,Usain Bolt,FULL TRAINING,01:29:00,7757,202,103,49,153,160,155,13,5,613.3670040553066
2024.11.26,Leonardo DiCaprio,FULL TRAINING,00:54:00,4769,351,74,33,107,197,197,4,3,728.02106860424
2025-01-07,Leonardo DiCaprio,FULL TRAINING,00:59:00,5656,993,59,21,80,331,363,16,75,855.3297250293652
2025-04-01,Leonardo DiCaprio,FULL TRAINING,00:58:00,8778,245,67,66,118,160,21,22,16,981.8859289997188
2025.01.09,Mark Wahlberg,FULL TRAINING,01:49:00,7996,583,150,70,221,375,406,10,46,730.1975653647571
2024-11-01,Mark Wahlberg,FULL TRAINING,01:19:00,2973,272,258,24,282,324,411,15,12,489.42472476802527
2025-02-18,Vin Diesel,FULL TRAINING,00:49:00,610,1034,83,27,111,255,296,40,14,907.7838226851765
2024.11.28,Chris Hemsworth,FULL TRAINING,00:48:00,2423,346,83,82,145,123,171,38,5,486.148853061291
2024-11-15,Cristiano Ronaldo,FULL TRAINING,00:38:00,5060,651,112,79,191,207,163,4,35,410.40489551371917
2024-12-07,George Clooney,OFFICIAL MATCH,01:10:00,6743,2566,758,262,1021,322,330,13,57,966.3192005210348
2025-03-08,Cristiano Ronaldo,OFFICIAL MATCH,01:13:00,9772,1272,641,378,1019,362,320,39,59,1419.6586291285143
2024-09-28,Robert Downey Jr.,OFFICIAL MATCH,01:39:00,9807,2004,530,13,544,550,485,37,28,1434.0767003501871
2024-12-06,Usain Bolt,FULL TRAINING,00:52:00,4123,1067,80,43,123,193,145,12,11,306.8440299200866
2025.02.24,Cristiano Ronaldo,FULL TRAINING,01:50:00,9151,526,526,33,560,247,409,25,7,335.6440535658954
2025-05-01,Justin Timberlake,FULL TRAINING,01:19:00,4007,760,50,4,55,339,288,44,24,709.094361606634
2025.04.15,Jamie Foxx,FULL TRAINING,01:19:00,9249,1115,447,5,452,257,306,6,13,910.9350169958584
2025-05-15,Adam Sandler,FULL TRAINING,00:57:00,3390,813,141,54,195,250,101,18,68,847.2707045319634
2025-01-05,Cristiano Ronaldo,OFFICIAL MATCH,00:59:00,5513,2355,882,882,1493,631,588,53,78,1613.2115819712853
2025-01-11,Ryan Reynolds,OFFICIAL MATCH,01:14:00,9878,2406,679,649,1328,585,660,47,50,1749.0988521143272
2024.12.10,Ryan Reynolds,FULL TRAINING,01:04:00,8182,296,128,22,151,281,164,7,16,596.5233417916169
2025-04-03,Vin Diesel,FULL TRAINING,01:28:00,885,779,89,54,143,321,270,22,9,608.1349871550964
2024-08-14,Gerard Butler,FULL TRAINING,01:21:00,6932,455,329,142,472,197,235,11,59,879.9189753963126
2024-06-21,Jamie Foxx,FULL TRAINING,01:33:00,9035,629,306,22,328,161,209,18,11,708.1161344434838
2024-07-26,Robert Downey Jr.,FULL TRAINING,01:28:00,9219,862,228,28,256,314,390,18,41,854.3111892682966
2024-07-18,Usain Bolt,FULL TRAINING,01:03:00,3323,341,138,29,168,302,271,73,2,848.2966785636513
2024-11-23,Leonardo DiCaprio,OFFICIAL MATCH,00:54:00,6008,1916,442,39,481,460,307,25,4,1192.2037000542864
2024-08-15,Chris Hemsworth,FULL TRAINING,01:05:00,7114,886,885,243,1129,299,274,4,37,496.46517451527563
2024-08-10,Leonardo DiCaprio,OFFICIAL MATCH,01:40:00,10193,1096,752,99,851,338,275,25,44,1205.1857928843765
2025-05-19,Vin Diesel,FULL TRAINING,01:22:00,5568,219,68,5,74,430,398,12,79,337.13366500351924
2024.08.01,Leonardo DiCaprio,FULL TRAINING,00:51:00,6473,300,49,10,59,310,368,31,14,912.3453195610726
2024-08-30,Chris Hemsworth,FULL TRAINING,00:59:00,4495,336,291,3,294,277,431,36,27,434.60876270686214
2024-08-30,Usain Bolt,FULL TRAINING,01:03:00,6457,568,167,5,173,249,309,17,0,783.2815623340617
2025.04.10,Leonardo DiCaprio,FULL TRAINING,01:33:00,2674,332,79,20,100,257,316,37,40,630.9505914639959
2024-10-24,Mark Wahlberg,FULL TRAINING,01:38:00,7482,293,170,11,182,257,112,20,112,466.8207193124042
2025-01-11,Chris Hemsworth,OFFICIAL MATCH,01:31:00,9873,1892,435,345,780,481,553,60,182,1501.5732076158026
2025-02-14,Usain Bolt,FULL TRAINING,00:34:00,0,1313,188,28,216,265,281,38,31,845.3654749867839
2025-01-01,Robert Downey Jr.,FULL TRAINING,01:23:00,5310,753,752,113,866,238,226,11,39,632.325923175978
2024-06-23,Adam Sandler,OFFICIAL MATCH,00:53:00,5687,1371,602,602,1196,503,452,19,79,1235.1636526507134
2024-08-20,Chris Hemsworth,FULL TRAINING,01:24:00,1938,239,252,251,264,162,132,10,3,501.681135055097
2024.11.22,Ryan Reynolds,FULL TRAINING,01:32:00,3198,400,90,77,167,254,293,6,3,729.1335606073246
2025-05-22,John Cena,FULL TRAINING,00:58:00,7972,399,342,11,354,279,80,11,15,1058.1544806018535
2025-01-13,John Cena,FULL TRAINING,01:11:00,4843,592,45,44,81,356,363,60,135,1014.0896855324031
2025-04-07,Jason Momoa,FULL TRAINING,01:11:00,5501,1165,1164,25,1190,301,313,28,22,558.7800541407026
2024-09-24,Robert Downey Jr.,FULL TRAINING,00:49:00,7639,1256,84,40,125,240,301,12,21,758.1541949431967
2024.11.11,Usain Bolt,FULL TRAINING,01:23:00,9214,283,283,30,314,256,242,7,6,458.3715855042807
2025-03-01,Justin Timberlake,OFFICIAL MATCH,01:37:00,10754,1927,590,258,849,577,586,59,72,1106.2570686802565
2024-10-16,Justin Timberlake,FULL TRAINING,00:51:00,1356,134,180,179,252,264,281,8,9,459.99031465816495
2025-02-05,Gerard Butler,FULL TRAINING,01:07:00,4110,757,428,50,479,274,400,22,17,661.8922015200476
2024.12.02,Jamie Foxx,FULL TRAINING,01:59:00,7354,454,111,21,132,126,248,7,4,367.1626958414455
2025.05.07,Chris Hemsworth,FULL TRAINING,01:23:00,4803,648,124,7,132,257,124,25,8,919.97990742236
2025.02.13,Adam Sandler,FULL TRAINING,01:55:00,5938,344,344,17,362,387,306,22,22,575.4844889403948
2024-07-04,Justin Timberlake,FULL TRAINING,01:22:00,6776,992,129,61,191,226,255,13,49,537.3307985660025
